spkid	Minor Planet Center body ID	full_name	Label full_name	named after	Description named_after	instance of named after	instance of instance of	subclass of instance of	author	country	coordinate location	taxon rank	date of birth	date of death	country of citizenship	occupation	sex or gender	name	diameter	first_obs
20009437	9437	9437 Hironari	9437 Hironari															Hironari	3.971	1981-09-01
20009438	9438	9438 Satie	9438 Satie	Erik Satie	French composer and pianist (1866-1925)	human	organisms known by a particular common name	mammal					1866-05-17T00:00:00Z	1925-07-01T00:00:00Z	France	composer	male	Satie	2.455	1991-08-05
								person								pianist				
								individual animal												
								omnivore												
								natural person												
20009442	9442	9442 Beiligong	9442 Beiligong	Beijing Institute of Technology	university	university	type of educational institution	higher education institution		People's Republic of China	39.957777777778,116.30833333333							Beiligong	6.676	1990-09-26
								academic institution												
								geolocatable entity												
						vice-ministerial level university		university												
								vice-ministerial level institution												
						ministry-owned university	type of university	public educational institution												
								university												
20009445	9445	سیارک ۹۴۴۵		Marc-Antoine Charpentier	17th-century French composer	human	organisms known by a particular common name	mammal					1643-01-01T00:00:00Z	1704-02-24T00:00:00Z	Kingdom of France	composer	male	Charpentier	2.661	1991-11-03
								person								choreographer				
								individual animal								singer				
								omnivore								organist				
								natural person												
20009446	9446	キケロ		Cicero	Roman statesman, lawyer, orator, and philosopher (106–43 BC)	human	organisms known by a particular common name	mammal					0106-01-03T00:00:00Z	0143-12-07T00:00:00Z	Ancient Rome	philosopher	male	Cicero	13.247	1985-02-21
								person								poet				
								individual animal								political theorist				
								omnivore								jurist				
								natural person								writer				
																Ancient Roman priest				
																Ancient Roman politician				
																ancient Roman military personnel				
																lawyer				
																orator				
																politician				
20009447	9447	سیارک ۹۴۴۷		Jules Bordet	Belgian immunologist and microbiologist (1870-1961)	human	organisms known by a particular common name	mammal					1870-06-13T00:00:00Z	1961-04-06T00:00:00Z	Belgium	biologist	male	Julesbordet	5.864	1979-06-22
								person								immunologist				
								individual animal								physician				
								omnivore								politician				
								natural person								university teacher				
																dermatologist				
20009448	9448	9448 Donaldavies	9448 Donaldavies	Donald Davies	British computer scientist (1924-2000)	human	organisms known by a particular common name	mammal					1924-06-07T00:00:00Z	2000-05-28T00:00:00Z	United Kingdom	physicist	male	Donaldavies	3.983	1992-03-26
								person								computer scientist				
								individual animal								mathematician				
								omnivore												
								natural person												
20009449	9449	9449 Petrbondy	9449 Petrbondy															Petrbondy	11.138	1989-01-03
20009452	9452	9452 Rogerpeeters	9452 Rogerpeeters															Rogerpeeters	6.587	1981-01-03
20009453	9453	(9453) Mallorca		Mallorca	island in the Mediterranean Sea	island	place type	landform		Spain	39.616666666667,2.9833333333333							Mallorca	8.049	1979-08-22
								landmass												
								geographic location												
								physical location												
20009454	9454	9454 Ardeishar	9454 Ardeishar															Ardeishar	6.717	1989-07-05
20009458	9458	9458 Beaumont	9458 Beaumont															Beaumont	4.003	1982-05-21
20009460	9460	9460 McGlynn	9460 McGlynn	Thomas A. McGlynn	American astronomer (born 1956)	human	organisms known by a particular common name	mammal					1956-01-01T00:00:00Z		United States	astronomer	male	McGlynn	8.138	1974-12-18
								person												
								individual animal												
								omnivore												
								natural person												
20009461	9461	9461 Cotingkeh	9461 Cotingkeh															Cotingkeh	4.493	1977-10-07
20009463	9463	9463 Criscione	9463 Criscione															Criscione	4.957	1979-08-22
20009465	9465	9465 Fergusonsam	9465 Fergusonsam															Fergusonsam	6.862	1971-03-24
20009468	9468	9468 Brewer	9468 Brewer															Brewer	6.061	1981-09-24
20009470	9470	9470 Jussieu	9470 Jussieu	De Jussieu family	French family known for the botanists it produced	family	social group	type of social group							France			Jussieu	11.941	1981-07-02
								group of humans												
								kindred												
								institution												
								being												
								collective agent												
20009471	9471	سیارک ۹۴۷۱		Ostend	coastal city in West Flanders, Belgium	municipality of Belgium		subdivisions of Belgium		Belgium	51.225833333333334,2.9194444444444443							Ostend	5.715	1979-07-24
								commune												
								LAU 2												
								fourth-level administrative division												
								municipality												
								geographic location												
						Belgian municipality with the title of city		municipality of Belgium												
								city												
						centre city	title of honor	city												
						port city		maritime settlement												
								city												
						seaside resort		human settlement												
								resort												
								maritime settlement												
20009472	9472	سیارک ۹۴۷۲		Bruges	city in West Flanders, Belgium	big city	classification of human settlements	city		Belgium	51.208888888888886,3.2241666666666666							Bruges	8.134	1976-05-29
						Belgian municipality with the title of city		municipality of Belgium												
								city												
						municipality of Belgium		subdivisions of Belgium												
								commune												
								LAU 2												
								fourth-level administrative division												
								municipality												
								geographic location												
						city	classification of human settlements	city or town												
								urban settlement												
20009473	9473	(9473) Ghent		Ghent	city in the province of East Flanders, Belgium	municipality of Belgium		subdivisions of Belgium		Belgium	51.05361111111111,3.725277777777778							Ghent	3.422	1993-07-12
								commune												
								LAU 2												
								fourth-level administrative division												
								municipality												
								geographic location												
						Belgian municipality with the title of city		municipality of Belgium												
								city												
						big city	classification of human settlements	city												
						carfree city		human settlement												
								car-free place												
20009474	9474	9474 Cassadrury	9474 Cassadrury															Cassadrury	3.573	1981-10-23
20009476	9476	9476 Vincenthuang	9476 Vincenthuang															Vincenthuang	8.611	1979-09-23
20009477	9477	9477 Kefennell	9477 Kefennell															Kefennell	2.431	1960-09-24
20009479	9479	9479 Madresplazamayo	9479 Madresplazamayo	Mothers of the Plaza de Mayo	movement of Argentine mothers who campaigned for their children who had been "disappeared"	human rights organization		non-governmental organization		Argentina								Madresplazamayo	2.687	1960-09-24
						women's organization	type of organization	organization												
20009480	9480	سیارک ۹۴۸۰		Inti	Incan sun god, patron deity of the Inca Empire	solar deity		deity									male	Inti	12.741	1960-09-24
								personification												
						creator deity		deity												
								creator												
						god	religious belief	deity												
								person												
20009481	9481	9481 Menchú	9481 Menchú	Rigoberta Menchú	Guatemalan human rights activist	human	organisms known by a particular common name	mammal					1959-01-09T00:00:00Z		Guatemala	politician	female	Menchu	4.671	1960-09-24
								person								writer				
								individual animal								autobiographer				
								omnivore								human rights activist				
								natural person												
20009486	9486	9486 Utemorrah	9486 Utemorrah	Daisy Utemorrah	(1922–1994) Australian author, poet, and leader	human	organisms known by a particular common name	mammal					1922-01-14T00:00:00Z	1994-02-01T00:00:00Z		writer	female	Utemorrah	5.146	1949-11-19
								person								children's writer				
								individual animal								poet				
								omnivore								storyteller				
								natural person												
20009487	9487	9487 Kupe	9487 Kupe	Kupe	Māori mythological explorer	human whose existence is disputed		character that may or may not be fictional							New Zealand	explorer	male	Kupe	5.232	1951-12-01
								person												
								fictional human												
20009488	9488	9488 Huia	9488 Huia	huia	extinct species of bird	extinct taxon		taxon				species						Huia	3.555	1960-09-24
20009489	9489	9489 Tanemahuta	9489 Tanemahuta	Tane	god of forests and of birds in Māori mythology	god	religious belief	deity									male	Tanemahuta	3.433	1971-03-24
								person												
20009490	9490	9490 Gosemeijer	9490 Gosemeijer															Gosemeijer	7.599	1971-03-24
20009491	9491	(9491) Thooft		Gerard 't Hooft	Dutch theoretical physicist	human	organisms known by a particular common name	mammal					1946-07-05T00:00:00Z		Kingdom of the Netherlands	theoretical physicist	male	Thooft	2.236	1971-03-24
								person								pedagogue				
								individual animal								professor				
								omnivore								non-fiction writer				
								natural person								physicist				
																university teacher				
20009492	9492	(9492) Veltman		Martinus J. G. Veltman	Dutch theoretical physicist (1931–2021)	human	organisms known by a particular common name	mammal					1931-06-27T00:00:00Z	2021-01-04T00:00:00Z	Kingdom of the Netherlands	theoretical physicist	male	Veltman	2.806	1971-03-24
								person								professor				
								individual animal								physicist				
								omnivore								university teacher				
								natural person												
20009494	9494	9494 Donici	9494 Donici	Nicolae Donici	Romanian astronomer	human	organisms known by a particular common name	mammal					1874-09-13T00:00:00Z	1960-01-01T00:00:00Z	Russian Empire	astronomer	male	Donici	3.819	1955-05-23
								person							Romania					
								individual animal							France					
								omnivore												
								natural person												
20009495	9495	9495 Eminescu	9495 Eminescu	Mihai Eminescu	Romanian poet, novelist and journalist (1850-1889)	human	organisms known by a particular common name	mammal					1850-01-15T00:00:00Z	1889-06-15T00:00:00Z	Principality of Moldavia	actor	male	Eminescu	3.259	1971-03-24
								person							United Principalities of Moldavia and Wallachia	prose writer				
								individual animal							Kingdom of Romania	journalist				
								omnivore								librarian				
								natural person								essayist				
																writer				
																poet				
																politician				
20009496	9496	9496 Ockels	9496 Ockels	Wubbo Ockels	Dutch physicist and astronaut (1946–2014)	human	organisms known by a particular common name	mammal					1946-03-28T00:00:00Z	2014-05-18T00:00:00Z	Kingdom of the Netherlands	physicist	male	Ockels	5.546	1971-03-24
								person								astronaut				
								individual animal								university teacher				
								omnivore								presenter				
								natural person								television presenter				
																engineer				
																aircraft pilot				
20009497	9497	9497 Dwingeloo	9497 Dwingeloo	Dwingeloo Radio Observatory	Dutch radio observatory	radio telescope		telescope		Netherlands	52.81194,6.39611							Dwingeloo	5.467	1950-03-22
								infrastructure												
								funded product												
								astronomical instrument												
						observatory		architectural structure												
								observation facility												
								scientific organization												
								facility												
20009499	9499	(9499) Excalibur		Excalibur	legendary sword of King Arthur	mythological sword		mythological weapon										Excalibur	5.098	1956-05-08
20009501	9501	9501 Ywain	9501 Ywain	Ywain	legendary character and Knight of the Round Table	legendary figure		character that may or may not be fictional									male	Ywain	5.756	1973-09-19
20009503	9503	9503 Agrawain	9503 Agrawain	Agravain	Knight of the Round Table	legendary figure		character that may or may not be fictional								murderer	male	Agrawain	13.792	1973-09-19
20009504	9504	9504 Lionel	9504 Lionel	Sir Lionel	figure in Arthurian legend	legendary figure		character that may or may not be fictional								knight	male	Lionel	4.806	1971-03-24
20009505	9505	(9505) Lohengrin		Lohengrin	opera by Richard Wagner	dramatico-musical work	metaclass	musical work/composition										Lohengrin	8.607	1973-09-19
								dramatic work												
20009507	9507	9507 Gottfried	9507 Gottfried	Duke Gottfried	operatic character in the opera Lohengrin by Richard Wagner; Elsa's brother	operatic character	type of fictional character	musical theatre character									male	Gottfried	3.073	1973-09-29
						fictional human	class of fictional entities	fictional primate												
								fictional person												
								fictional humanoid												
								imaginary human												
20009508	9508	9508 Titurel	9508 Titurel	Titurel	operatic character in the opera Parsifal	operatic character	type of fictional character	musical theatre character									male	Titurel	4.061	1949-11-19
						fictional human	class of fictional entities	fictional primate												
								fictional person												
								fictional humanoid												
								imaginary human												
20009512	9512	小行星9512		Fei Junlong	Chinese military pilot and an astronaut	human	organisms known by a particular common name	mammal					1965-05-05T00:00:00Z		People's Republic of China	fighter pilot	male	Feijunlong	7.036	1966-02-13
								person								astronaut				
								individual animal												
								omnivore												
								natural person												
20009515	9515	9515 Dubner	9515 Dubner	Gloria Dubner	Argentine astrophysicist	human	organisms known by a particular common name	mammal					1950-05-05T00:00:00Z		Argentina	astronomer	female	Dubner	11.74	1955-04-14
								person								astrophysicist				
								individual animal												
								omnivore												
								natural person												
20009516	9516	9516 Inasan	9516 Inasan	Institute of Astronomy of the Russian Academy of Sciences	research institute in Moscow, Russia	institute of the Russian Academy of Sciences		research institute		Russia								Inasan	11.126	1953-11-14
20009517	9517	小行星9517		Nie Haisheng	Chinese astronaut	human	organisms known by a particular common name	mammal					1964-10-13T00:00:00Z		People's Republic of China	astronaut	male	Niehaisheng	7.238	1970-01-04
								person								fighter pilot				
								individual animal												
								omnivore												
								natural person												
20009519	9519	9519 Jeffkeck	9519 Jeffkeck															Jeffkeck	5.016	1978-11-05
20009521	9521	9521 Martinhoffmann	9521 Martinhoffmann															Martinhoffmann	2.907	1980-03-16
20009522	9522	9522 Schlichting	9522 Schlichting	Hilke Schlichting	planetary scientist	human	organisms known by a particular common name	mammal					1982-01-01T00:00:00Z			researcher	female	Schlichting	16.831	1954-03-28
								person								planetary scientist				
								individual animal												
								omnivore												
								natural person												
20009524	9524	9524 O'Rourke	9524 O'Rourke	Laurence O'Rourke	astronomer	human	organisms known by a particular common name	mammal					1970-01-01T00:00:00Z			astronomer	male	O'Rourke	2.920	1975-07-11
								person												
								individual animal												
								omnivore												
								natural person												
20009527	9527	9527 Sherrypervan	9527 Sherrypervan															Sherrypervan	4.800	1977-02-13
20009528	9528	9528 Küppers	9528 Küppers															Kuppers	3.549	1981-02-09
20009531	9531	9531 Jean-Luc	9531 Jean-Luc	Jean-Luc Margot	Belgian-born astronomer and UCLA professor who specializes in planetary sciences	human	organisms known by a particular common name	mammal					1969-01-01T00:00:00Z		Belgium	astronomer	male	Jean-Luc	4.176	1961-10-17
								person												
								individual animal												
								omnivore												
								natural person												
20009532	9532	9532 Abramenko	9532 Abramenko															Abramenko	6.251	1976-05-03
20009533	9533	سیارک ۹۵۳۳		Alexey Leonov	Soviet pilot and cosmonaut, first human to conduct a spacewalk (1934-2019)	human	organisms known by a particular common name	mammal					1934-05-30T00:00:00Z	2019-10-11T00:00:00Z	Russia	military aviator	male	Aleksejleonov	9.552	1973-12-20
								person								astronaut				
								individual animal								painter				
								omnivore								writer				
								natural person								fighter pilot				
																explorer				
																air force officer				
																airman				
20009535	9535	9535 Plitchenko	9535 Plitchenko	Aleksandr Plitchenko	Soviet writer (1943–1997)	human	organisms known by a particular common name	mammal					1943-04-09T00:00:00Z	1997-11-08T00:00:00Z	Soviet Union	writer	male	Plitchenko	4.322	1979-01-24
								person								poet				
								individual animal												
								omnivore												
								natural person												
20009536	9536	9536 Statler	9536 Statler															Statler	9.889	1949-04-04
20009537	9537	9537 Nolan	9537 Nolan	Michael C. Nolan	American astronomer	human	organisms known by a particular common name	mammal					1963-01-01T00:00:00Z		United States	astronomer	male	Nolan	11.395	1953-09-06
								person								academic				
								individual animal								university teacher				
								omnivore												
								natural person												
20009539	9539	9539 Prishvin	9539 Prishvin	Mikhail Prishvin	Russian writer (1873–1954)	human	organisms known by a particular common name	mammal					1873-01-23T00:00:00Z	1954-01-16T00:00:00Z	Russian Empire	writer	male	Prishvin	9.603	1982-10-21
								person							Soviet Union	journalist				
								individual animal								agronomist				
								omnivore								children's writer				
								natural person								prose writer				
																opinion journalist				
																diarist				
																traveler				
																photographer				
																local historian				
																pedagogue				
																librarian				
																war correspondent				
																short story writer				
20009540	9540	9540 Mikhalkov	9540 Mikhalkov	Sergey Mikhalkov	Russian and Soviet writer (1913–2009)	human	organisms known by a particular common name	mammal					1913-02-28T00:00:00Z	2009-08-27T00:00:00Z	Soviet Union	playwright	male	Mikhalkov	13.182	1957-04-28
								person							Russian Empire	screenwriter				
								individual animal							Russia	poet				
								omnivore							Russian Republic	writer				
								natural person								children's writer				
																science fiction writer				
																lyricist				
																songwriter				
																politician				
																prose writer				
																opinion journalist				
																war correspondent				
																public figure				
																translator				
20009541	9541	9541 Magri	9541 Magri															Magri	4.435	1983-02-11
20009543	9543	9543 Nitra	9543 Nitra	Nitra	city in Slovakia	city	classification of human settlements	city or town		Slovakia	48.314722222222,18.0875							Nitra	9.920	1954-05-24
								urban settlement												
						municipality of Slovakia		subdivisions of Slovakia		Czechoslovakia										
								third-level administrative division		Kingdom of Hungary										
								obec												
								municipality												
20009544	9544	9544 Scottbirney	9544 Scottbirney															Scottbirney	15.140	1984-03-01
20009545	9545	9545 Petrovedomosti	9545 Petrovedomosti	Sankt-Peterburgskie Vedomosti		periodical	type of mass media	serial		Russian Empire								Petrovedomosti	9.473	1971-09-15
							type of publication	communications media		Russian Republic										
							form of creative work	publication												
20009548	9548	9548 Fortran	9548 Fortran	Fortran	general-purpose programming language	programming language	computer science term	computer language										Fortran	5.447	1954-09-04
						structured programming language	type of programming language	programming language												
						imperative programming language	type of programming language	programming language												
						procedural programming language	type of programming language	programming language												
						object-based language	type of programming language	programming language												
						generic programming language	type of programming language	programming language												
						array programming language		programming language												
20009549	9549	9549 Akplatonov	9549 Akplatonov	Aleksandr Platonov	Soviet mathematician	human	organisms known by a particular common name	mammal					1931-01-03T00:00:00Z	2017-09-17T00:00:00Z	Soviet Union	mathematician	male	Akplatonov	8.238	1981-10-03
								person							Russia					
								individual animal												
								omnivore												
								natural person												
20009550	9550	9550 Victorblanco	9550 Victorblanco	Víctor Manuel Blanco	Puerto Rican astronomer (1918–2011)	human	organisms known by a particular common name	mammal					1918-03-10T00:00:00Z	2011-03-08T00:00:00Z	United States	astronomer	male	Victorblanco	12.908	1981-10-30
								person												
								individual animal												
								omnivore												
								natural person												
20009551	9551	9551 Kazi	9551 Kazi	Kazi		human	organisms known by a particular common name	mammal									female	Kazi	4.301	1985-09-21
								person												
								individual animal												
								omnivore												
								natural person												
20009553	9553	9553 Colas	9553 Colas	François Colas	French astronomer	human	organisms known by a particular common name	mammal					1959-01-01T00:00:00Z		France	astronomer	male	Colas	3.791	1954-02-26
								person								researcher				
								individual animal												
								omnivore												
								natural person												
20009554	9554	9554 Dumont	9554 Dumont															Dumont	2.899	1985-12-13
20009556	9556	9556 Gaywray	9556 Gaywray															Gaywray	5.958	1979-05-01
20009560	9560	9560 Anguita	9560 Anguita															Anguita	3.760	1972-09-04
20009561	9561	(9561) van Eyck		Jan van Eyck	Flemish painter (c.1390–1441)	human	organisms known by a particular common name	mammal					1390-01-01T00:00:00Z	1441-06-09T00:00:00Z	Southern Netherlands	painter	male	van Eyck	4.197	1955-04-20
								person								illuminator				
								individual animal								architect				
								omnivore								draftsperson				
								natural person								architectural draftsperson				
20009562	9562	(9562) Memling		Hans Memling	German/Flemish painter (c. 1430–1494)	human	organisms known by a particular common name	mammal					1435-01-01T00:00:00Z	1494-08-11T00:00:00Z	Habsburg Netherlands	painter	male	Memling	17.688	1954-07-28
								person							Germany	artist				
								individual animal								visual artist				
								omnivore												
								natural person												
20009563	9563	9563 Kitty	9563 Kitty															Kitty	3.335	1951-12-01
20009565	9565	9565 Tikhonov	9565 Tikhonov	Andrey Tikhonov	Soviet mathematician (1906–1993)	human	organisms known by a particular common name	mammal					1906-10-17T00:00:00Z	1993-11-07T00:00:00Z	Russian Empire	mathematician	male	Tikhonov	4.521	1987-09-18
								person							Soviet Union	topologist				
								individual animal							Russia	geophysicist				
								omnivore								university teacher				
								natural person												
20009566	9566	9566 Rykhlova	9566 Rykhlova	Lidia Rykhlova	Soviet astronomer	human	organisms known by a particular common name	mammal					1937-04-08T00:00:00Z		Soviet Union	astronomer	female	Rykhlova	9.253	1976-09-29
								person							Russia					
								individual animal												
								omnivore												
								natural person												
20009567	9567	9567 Surgut	9567 Surgut	Surgut	city in Russia	administrative divisions of Russia		administrative territorial entity of a single country		Russia	61.25,73.433333333333							Surgut	6.035	1976-09-24
						city or town		urban settlement												
								locality												
								administrative territorial entity												
						big city	classification of human settlements	city												
20009573	9573	سیارک ۹۵۷۳																Matsumotomas	6.810	1953-10-31
20009574	9574	9574 Taku	9574 Taku	Hiroshi Nakamura	Japanese biochemist	human	organisms known by a particular common name	mammal					1890-03-25T00:00:00Z	1974-02-07T00:00:00Z	Japan	biochemist	male	Taku	4.253	1981-11-03
								person							Empire of Japan	historian				
								individual animal												
								omnivore												
								natural person												
20009576	9576	9576 van der Weyden	9576 van der Weyden	Rogier van der Weyden	early Netherlandish painter (c. 1399–1464)	human	organisms known by a particular common name	mammal					1390-01-01T00:00:00Z	1464-06-18T00:00:00Z	Burgundian Netherlands	painter	male	van der Weyden	8.627	1955-11-11
								person						1464-06-16T00:00:00Z		illuminator				
								individual animal								architectural draftsperson				
								omnivore												
								natural person												
20009579	9579	9579 Passchendaele	9579 Passchendaele	Passendale	section of Zonnebeke, Belgium	municipality section		municipality section		Belgium	50.90027777777778,3.0205555555555557							Passchendaele	8.659	1976-12-16
								subdivisions of Belgium												
								human settlement												
20009580	9580	垂水		Tarumi-ku	ward of Japan	ward of Japan	designation for an administrative territorial entity of a single country	administrative territorial entity of Japan		Japan	34.63052777777778,135.05672222222222							Tarumi	5.794	1950-12-09
								third-level administrative division												
								city district												
								区												
								executive branch												
						administrative territorial entity		human-geographic territorial entity												
								political entity												
20009587	9587	سیارک ۹۵۸۷		Aimé Bonpland	French physician, botanist and explorer (1773-1858)	human	organisms known by a particular common name	mammal					1773-08-29T00:00:00Z	1858-05-10T00:00:00Z	France	physician	male	Bonpland	4.828	1988-01-26
								person								botanist				
								individual animal								pteridologist				
								omnivore								explorer				
								natural person								university teacher				
20009588	9588	(9588) Quesnay		François Quesnay	French economist	human	organisms known by a particular common name	mammal					1694-06-04T00:00:00Z	1774-12-16T00:00:00Z	France	philosopher	male	Quesnay	4.637	1955-04-18
								person								economist				
								individual animal								physician				
								omnivore								encyclopédistes				
								natural person								surgeon				
																naturalist				
																writer				
20009589	9589	(9589) Deridder		Remi De Ridder	Belgian politician and university professor	human	organisms known by a particular common name	mammal					1843-03-06T00:00:00Z	1930-07-15T00:00:00Z	Belgium	politician	male	Deridder	3.339	1971-03-24
								person					1843-01-01T00:00:00Z	1930-01-01T00:00:00Z		university teacher				
								individual animal												
								omnivore												
								natural person												
20009592	9592	(9592) Clairaut		Alexis Clairaut	French mathematician, astronomer, and geophysicist (*1713 – †1765)	human	organisms known by a particular common name	mammal					1713-05-13T00:00:00Z	1765-05-17T00:00:00Z	France	astronomer	male	Clairaut	6.469	1991-04-08
								person								mathematician				
								individual animal								mechanic				
								omnivore								physicist				
								natural person												
20009594	9594	9594 Garstang	9594 Garstang	Roy Henry Garstang	British scientist	human	organisms known by a particular common name	mammal					1925-01-01T00:00:00Z	2009-01-01T00:00:00Z		scientist	male	Garstang	4.063	1985-12-17
								person												
								individual animal												
								omnivore												
								natural person												
20009599	9599	9599 Onotomoko	9599 Onotomoko															Onotomoko	4.305	1991-10-29
20009602	9602	9602 Oya	9602 Oya															Oya	5.436	1977-09-09
20009609	9609	9609 Ponomarevalya	9609 Ponomarevalya	Valentina Ponomaryova	cosmonaut (1933–2023)	human	organisms known by a particular common name	mammal					1933-09-18T00:00:00Z	2023-11-08T00:00:00Z	Russia	explorer	female	Ponomarevalya	11.595	1935-09-23
								person								aircraft pilot				
								individual animal								astronaut				
								omnivore												
								natural person												
20009610	9610	سیارک ۹۶۱۰		Peter Vischer the Elder	German sculptor (c. 1455–1529)	human	organisms known by a particular common name	mammal					1455-01-01T00:00:00Z	1529-01-07T00:00:00Z	Germany	sculptor	male	Vischer	10.599	1975-09-03
								person								artisan				
								individual animal												
								omnivore												
								natural person												
20009612	9612	سیارک ۹۶۱۲		Belgorod	city in the south of Russia	city or town		urban settlement		Russia	50.6,36.6							Belgorod	7.610	1987-11-26
								locality												
								administrative territorial entity												
						big city	classification of human settlements	city												
20009614	9614	(9614) Cuvier		Georges Cuvier	French naturalist, zoologist and paleontologist (1769–1832)	human	organisms known by a particular common name	mammal					1769-08-23T00:00:00Z	1832-05-13T00:00:00Z	France	geologist	male	Cuvier	3.200	1976-04-04
								person								paleontologist				
								individual animal								politician				
								omnivore								zoologist				
								natural person								ornithologist				
																university teacher				
																professor				
																biologist				
																malacologist				
																ichthyologist				
																botanist				
																archaeologist				
																philosopher				
																anthropologist				
																writer				
																naturalist				
20009615	9615	(9615) Hemerijckx		Frans Hemerijckx	Flemish leprologist, humanist (1902-1969)	human	organisms known by a particular common name	mammal					1902-08-19T00:00:00Z	1969-10-14T00:00:00Z	Belgium	physician	male	Hemerijckx	3.916	1951-08-08
								person								social worker				
								individual animal												
								omnivore												
								natural person												
20009617	9617	سیارک ۹۶۱۷		Graham Chapman	English actor, comedian and writer (1941–1989)	human	organisms known by a particular common name	mammal					1941-01-08T00:00:00Z	1989-10-04T00:00:00Z	United Kingdom	comedian	male	Grahamchapman	2.840	1951-08-08
								person								writer				
								individual animal								actor				
								omnivore								screenwriter				
								natural person								film actor				
																composer				
																autobiographer				
																physician				
																television actor				
20009618	9618	سیارک ۹۶۱۸		John Cleese	English comedian and actor (born 1939)	human	organisms known by a particular common name	mammal					1939-10-27T00:00:00Z		United Kingdom	actor	male	Johncleese	2.033	1986-04-29
								person								television actor				
								individual animal								film actor				
								omnivore								comedian				
								natural person								voice actor				
																screenwriter				
																writer				
																film producer				
																autobiographer				
																stage actor				
																film director				
20009619	9619	سیارک ۹۶۱۹		Terry Gilliam	American born-British filmmaker, comedian, and actor (born 1940)	human	organisms known by a particular common name	mammal					1940-11-22T00:00:00Z		United Kingdom	film director	male	Terrygilliam	6.591	1971-03-24
								person							United States	screenwriter				
								individual animal								comedian				
								omnivore								animator				
								natural person								film actor				
																actor				
																television actor				
																film producer				
																comics artist				
																director				
																writer				
20009620	9620	سیارک ۹۶۲۰		Eric Idle	British comedian, actor and writer (born 1943)	human	organisms known by a particular common name	mammal					1943-03-29T00:00:00Z		United Kingdom	film actor	male	Ericidle	3.530	1988-12-15
								person								actor				
								individual animal								comedian				
								omnivore								screenwriter				
								natural person								novelist				
																singer-songwriter				
																playwright				
																writer				
																guitarist				
																lyricist				
																film director				
																television actor				
20009621	9621	マイケル・ペイリン		Michael Palin	English actor, comedian, writer, and television presenter	human	organisms known by a particular common name	mammal					1943-05-05T00:00:00Z		United Kingdom	actor	male	Michaelpalin	3.632	1981-10-24
								person								comedian				
								individual animal								screenwriter				
								omnivore								diarist				
								natural person								singer				
																film actor				
																television presenter				
																children's writer				
																television actor				
																travel writer				
																television writer				
																film screenwriter				
																film producer				
																video game actor				
																voice actor				
20009622	9622	سیارک ۹۶۲۲		Terry Jones	Welsh actor, comedian, director, historian and writer (1942–2020)	human	organisms known by a particular common name	mammal					1942-02-01T00:00:00Z	2020-01-21T00:00:00Z	United Kingdom	actor	male	Terryjones	3.157	1971-11-10
								person								screenwriter				
								individual animal												
								omnivore												
								natural person												
20009626	9626	(9626) Stanley		John Stanley	English composer and organist	human	organisms known by a particular common name	mammal					1712-01-17T00:00:00Z	1786-05-19T00:00:00Z	Kingdom of Great Britain	composer	male	Stanley	3.645	1987-10-28
								person							United Kingdom	organist				
								individual animal								violinist				
								omnivore												
								natural person												
20009628	9628	9628 Sendaiotsuna	9628 Sendaiotsuna															Sendaiotsuna	8.448	1951-08-24
20009630	9630	سیارک ۹۶۳۰		Sebastian Castellio	French preacher and theologian	human	organisms known by a particular common name	mammal					1515-01-01T00:00:00Z	1563-12-29T00:00:00Z	France	theologian	male	Castellion	6.818	1984-09-20
								person						1563-01-01T00:00:00Z		translator				
								individual animal								Bible translator				
								omnivore												
								natural person												
20009631	9631	سیارک ۹۶۳۱		Hubert Reeves	Canadian astrophysicist and popularizer of science (1932–2023)	human	organisms known by a particular common name	mammal					1932-07-13T00:00:00Z	2023-10-13T00:00:00Z	Canada	astrophysicist	male	Hubertreeves	6.246	1979-11-17
								person							France	university teacher				
								individual animal								science communicator				
								omnivore								environmentalist				
								natural person												
20009632	9632	9632 Sudo	9632 Sudo															Sudo	6.978	1972-10-07
20009633	9633	9633 Cotur	9633 Cotur															Cotur	10.195	1982-09-19
20009634	9634	9634 Vodice	9634 Vodice															Vodice	6.149	1954-07-28
20009637	9637	9637 Perryrose	9637 Perryrose	Perry Rose	American astronomer	human	organisms known by a particular common name	mammal					1966-01-01T00:00:00Z		United States	astronomer	male	Perryrose	3.333	1972-10-07
								person												
								individual animal												
								omnivore												
								natural person												
20009645	9645	9645 Grünewald	9645 Grünewald	Matthias Grünewald	German Renaissance painter (c.1480–1528)	human	organisms known by a particular common name	mammal					1480-01-01T00:00:00Z	1528-08-31T00:00:00Z	Germany	painter	male	Grunewald	10.171	1989-11-02
								person								engineer				
								individual animal								architect				
								omnivore								draftsperson				
								natural person								general contractor				
																architectural draftsperson				
20009648	9648	9648 Gotouhideo	9648 Gotouhideo															Gotouhideo	3.718	1978-11-30
20009649	9649	9649 Junfukue	9649 Junfukue	Jun Fukue	Japanese astronomer	human	organisms known by a particular common name	mammal					1956-02-03T00:00:00Z		Japan	astronomer	male	Junfukue	2.996	1978-09-27
								person												
								individual animal												
								omnivore												
								natural person												
20009650	9650	9650 Okadaira	9650 Okadaira	Okadaira Shell Mound	archaeological site in Japan	archaeological site		location of discovery		Japan	36.017111,140.347944							Okadaira	3.693	1984-09-27
								human-geographic territorial entity												
								geographic location												
						midden		archaeological site												
